127.0.0.1 - - [25/Jan/2021:15:13:34 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:13:36 +0900] "GET /simplechat/ HTTP/1.1" 200 1340
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:13:36 +0900] "GET /simplechat/echo/info?t=1611555216811 HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:13:36 +0900] "GET /simplechat/echo/446/50psr0el/websocket HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:13:41 +0900] "GET /simplechat/ HTTP/1.1" 200 1340
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:13:42 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:13:42 +0900] "GET /simplechat/echo/info?t=1611555222461 HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:13:42 +0900] "GET /simplechat/echo/926/vkytdo13/websocket HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:15:00 +0900] "GET /simplechat/member/login HTTP/1.1" 200 3498
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:15:00 +0900] "GET /simplechat/css/base.css HTTP/1.1" 200 276
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:15:00 +0900] "GET /simplechat/css/common.css HTTP/1.1" 200 8370
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:15:00 +0900] "GET /simplechat/css/reset.css HTTP/1.1" 200 834
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:15:04 +0900] "POST /simplechat/member/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:15:06 +0900] "GET /simplechat/chatRoomList/ HTTP/1.1" 200 24465
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:15:06 +0900] "GET /simplechat/css/chat/list.css HTTP/1.1" 200 3630
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:15:06 +0900] "GET /simplechat/css/chat/modal.css HTTP/1.1" 200 1115
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:15:06 +0900] "GET /simplechat/css/chat/room.css HTTP/1.1" 200 3153
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:15:06 +0900] "GET /simplechat/chatRoomList/images/free-icon-human-106137.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:15:06 +0900] "GET /simplechat/js/chat.js HTTP/1.1" 200 770
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:15:44 +0900] "GET /simplechat/chatRoomList/ HTTP/1.1" 200 24465
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:15:44 +0900] "GET /simplechat/chatRoomList/images/free-icon-human-106137.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:15:44 +0900] "GET /simplechat/js/chat.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:15:48 +0900] "GET /simplechat/chatRoomList/ HTTP/1.1" 200 24465
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:15:48 +0900] "GET /simplechat/chatRoomList/images/free-icon-human-106137.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:15:53 +0900] "GET /simplechat/chatRoomList/ HTTP/1.1" 200 24465
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:15:53 +0900] "GET /simplechat/css/reset.css HTTP/1.1" 200 834
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:15:53 +0900] "GET /simplechat/css/common.css HTTP/1.1" 200 8370
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:15:53 +0900] "GET /simplechat/css/base.css HTTP/1.1" 200 276
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:15:53 +0900] "GET /simplechat/css/chat/room.css HTTP/1.1" 200 3153
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:15:53 +0900] "GET /simplechat/css/chat/list.css HTTP/1.1" 200 3630
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:15:53 +0900] "GET /simplechat/css/chat/modal.css HTTP/1.1" 200 1115
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:15:53 +0900] "GET /simplechat/js/chat.js HTTP/1.1" 200 731
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:15:53 +0900] "GET /simplechat/chatRoomList/images/free-icon-human-106137.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:15:53 +0900] "GET /simplechat/chatRoomList/images/free-icon-human-106137.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:15:54 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:18:37 +0900] "GET /simplechat/chatRoomList/ HTTP/1.1" 500 24521
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:18:37 +0900] "GET /simplechat/chatRoomList/images/free-icon-human-106137.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:19:13 +0900] "GET /simplechat/chatRoomList/ HTTP/1.1" 500 24521
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:19:51 +0900] "GET /simplechat/chatRoomList/ HTTP/1.1" 500 24464
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:19:52 +0900] "GET /simplechat/chatRoomList/ HTTP/1.1" 500 24464
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:19:53 +0900] "GET /simplechat/chatRoomList/ HTTP/1.1" 500 24464
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:21:36 +0900] "GET /simplechat/chatRoomList/ HTTP/1.1" 200 25245
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:21:36 +0900] "GET /simplechat/chatRoomList/images/free-icon-human-106137.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:21:37 +0900] "GET /simplechat/chatRoomList/images/free-icon-human-106137.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:21:37 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:22:29 +0900] "GET /simplechat/chatRoomList/ HTTP/1.1" 200 25246
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:22:29 +0900] "GET /simplechat/chatRoomList/images/free-icon-human-106137.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:23:23 +0900] "GET /simplechat/chatRoomList/ HTTP/1.1" 200 25225
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:23:23 +0900] "GET /simplechat/chatRoomList/images/free-icon-human-106137.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:23:23 +0900] "GET /simplechat/chatRoomList/images/free-icon-human-106137.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:23:43 +0900] "GET /simplechat/chatRoomList/ HTTP/1.1" 200 25227
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:23:43 +0900] "GET /simplechat/chatRoomList/images/free-icon-human-106137.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:42:37 +0900] "GET /simplechat/chatRoomList/ HTTP/1.1" 200 25234
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:42:37 +0900] "GET /simplechat/chatRoomList/images/free-icon-human-106137.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Jan/2021:15:42:38 +0900] "GET /simplechat/chatRoomList/images/free-icon-human-106137.png HTTP/1.1" 404 721
36.65.51.59 - - [25/Jan/2021:15:53:31 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [25/Jan/2021:16:07:57 +0900] "GET /simplechat/chatRoomList/ HTTP/1.1" 200 25383
0:0:0:0:0:0:0:1 - - [25/Jan/2021:16:07:57 +0900] "GET /simplechat/chatRoomList/images/free-icon-human-106137.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Jan/2021:16:07:58 +0900] "GET /simplechat/chatRoomList/images/free-icon-human-106137.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Jan/2021:16:07:58 +0900] "GET /favicon.ico HTTP/1.1" 404 818
